Usuario1	Usuario2	Pearson
A3V6Z4RCDGRC44	AJKWF4W7QD4NS	0.625410081507268
A3V6Z4RCDGRC44	A3W4D8XOGLWUN5	0.18510721562984295
A3V6Z4RCDGRC44	A2QHS1ZCIQOL7E	0.41307231149306994
A3V6Z4RCDGRC44	A29BQ6B90Y1R5F	0.5157320034179825
A3V6Z4RCDGRC44	A2582KMXLK2P06	0.24453471613452504
A3V6Z4RCDGRC44	A20DZX38KRBIT8	0.2335990751667945
A3V6Z4RCDGRC44	AFV2584U13XP3	0.2938752030056588
A3V6Z4RCDGRC44	A3KJ6JAZPH382D	0.5773502691896258
A3V6Z4RCDGRC44	A8IFUOL8S9BZC	0.6666666666666665
A3V6Z4RCDGRC44	A2TCG2HV1VJP6V	0.4973176586690505
A3V6Z4RCDGRC44	A1AISPOIIHTHXX	0.2563700604407304
A3V6Z4RCDGRC44	A3GKMQFL05Z79K	0.2952796091069408
A3V6Z4RCDGRC44	A8NHN9UPML858	0.18068217430052597
A3V6Z4RCDGRC44	A74TA8X5YQ7NE	0.6928391666469675
A3V6Z4RCDGRC44	A3J8ABVGK7ZL6H	0.14455863127374785
A3V6Z4RCDGRC44	AQMWZIH22R6LE	0.20975066781308993
A3V6Z4RCDGRC44	AMP7TQRWAIE84	0.5763539780776886
A3V6Z4RCDGRC44	A3F2VVIQIY6U64	0.6622661785325218
AJKWF4W7QD4NS	A3W4D8XOGLWUN5	0.3981153036754496
AJKWF4W7QD4NS	A9Q28YTLYREO7	0.5773502691896257
AJKWF4W7QD4NS	A2QHS1ZCIQOL7E	0.6240982363130321
AJKWF4W7QD4NS	A29BQ6B90Y1R5F	0.772978840880562
AJKWF4W7QD4NS	A2582KMXLK2P06	0.16939344562699798
AJKWF4W7QD4NS	A20DZX38KRBIT8	-0.034680778977106565
AJKWF4W7QD4NS	AFV2584U13XP3	0.626290739889268
AJKWF4W7QD4NS	A3KJ6JAZPH382D	0.4455663943395034
AJKWF4W7QD4NS	A8IFUOL8S9BZC	0.38592249249397986
AJKWF4W7QD4NS	A2TCG2HV1VJP6V	0.8818645278724098
AJKWF4W7QD4NS	A3C6ZCBUNXUT7V	-0.9684959969581863
